B	A	transcriptB12583		absent_transcript	0	geneB12583	geneA20676	
B	A	transcriptB33275		absent_transcript	0	geneB33275	geneA25181	
B	A	transcriptB33667	transcriptA23854	unique_transcript	0	geneB33667	geneA25622	
B	A	transcriptB25963	transcriptA5975	unique_transcript	0	geneB25963	geneA30972	
B	A	transcriptB27104	transcriptA96038	unique_transcript	0	geneB27104	geneA32231	
B	A	transcriptB6336	transcriptA119851	unique_transcript	0	geneB6336	geneA35467	
B	A	transcriptB6337		absent_transcript	0	geneB6337	geneA35467	
B	A	transcriptB9181		absent_transcript	0	geneB9181	geneA37836	
B	A	transcriptB4326		gene_fusion	0	geneB4326	geneA39694;geneA39695	
B	A	transcriptB38638		absent_transcript	0	geneB38638	geneA42124	
B	A	transcriptB37956	transcriptA115025	unique_transcript	0	geneB37956	geneA41459	
A	B	transcriptA107513		absent_transcript	0	geneA39695	geneB4326	
A	B	transcriptA116852		gene_fusion	0	geneA6621	geneB24592;geneB24517	
A	B	transcriptA123674		gene_fusion	0	geneA6621	geneB24592;geneB24517	
A	B	transcriptA128220	transcriptB20365	unique_transcript	0	geneA1914	geneB20367	
A	B	transcriptA17316		gene_fusion	0	geneA6621	geneB24592;geneB24517	
A	B	transcriptA46499		gene_fusion	0	geneA6621	geneB24592;geneB24517	
A	B	transcriptA53955		gene_fusion	0	geneA6621	geneB24592;geneB24517	
A	B	transcriptA57241		gene_fusion	0	geneA6621	geneB24592;geneB24517	
A	B	transcriptA67267		gene_fusion	0	geneA6621	geneB24592;geneB24517	
A	B	transcriptA72394		absent_transcript	0	geneA3662	geneB22128	
A	B	transcriptA80231		gene_fusion	0	geneA6621	geneB24592;geneB24517	
